fid,org_fid,distance,x,y
"1","18",0,233069.491,316654.965
"2","18",0.5,233069.464893756,316655.464317999
"3","18",1,233069.438787512,316655.963635998
"4","18",1.5,233069.412681269,316656.462953997
"5","18",2,233069.386575025,316656.962271996
"6","18",2.5,233069.360468781,316657.461589995
"7","18",3,233069.334362537,316657.960907993
"8","18",3.5,233069.308256294,316658.460225992
"9","18",4,233069.28215005,316658.959543991
"10","18",4.5,233069.256043806,316659.45886199
"11","18",5,233069.229937562,316659.958179989
"12","18",5.5,233069.203831319,316660.457497988
"13","18",6,233069.177725075,316660.956815987
"14","18",6.5,233069.151618831,316661.456133986
"15","18",7,233069.125512587,316661.955451985
"16","18",7.5,233069.099406343,316662.454769984
"17","18",8,233069.0733001,316662.954087983
"18","18",8.5,233069.047193856,316663.453405981
"19","18",9,233069.021087612,316663.95272398
"20","18",9.5,233068.994981368,316664.452041979
"21","18",10,233068.968875125,316664.951359978
"22","18",10.5,233068.942768881,316665.450677977
"23","18",11,233068.916662637,316665.949995976
"24","18",11.5,233068.890556393,316666.449313975
"25","18",12,233068.86445015,316666.948631974
"26","18",12.5,233068.838343906,316667.447949973
"27","18",13,233068.812237662,316667.947267972
"28","18",13.5,233068.786131418,316668.446585971
"29","18",14,233068.760025174,316668.945903969
"30","18",14.5,233068.733918931,316669.445221968
"31","18",15,233068.707812687,316669.944539967
"32","18",15.5,233068.681706443,316670.443857966
"33","18",16,233068.655600199,316670.943175965
"34","18",16.5,233068.629493956,316671.442493964
"35","18",17,233068.603387712,316671.941811963
"36","18",17.5,233068.577281468,316672.441129962
"37","18",18,233068.551175224,316672.940447961
"38","18",18.5,233068.525068981,316673.43976596
"39","18",19,233068.498962737,316673.939083959
"40","18",19.5,233068.472856493,316674.438401958
"41","18",20,233068.446750249,316674.937719956
"42","18",20.5,233068.420644005,316675.437037955
"43","18",21,233068.394537762,316675.936355954
"44","18",21.5,233068.368431518,316676.435673953
"45","18",22,233068.342325274,316676.934991952
"46","18",22.5,233068.31621903,316677.434309951
"47","18",23,233068.290112787,316677.93362795
"48","18",23.5,233068.264006543,316678.432945949
"49","18",24,233068.237900299,316678.932263948
"50","18",24.5,233068.211794055,316679.431581947
"51","18",25,233068.185687812,316679.930899946
"52","18",25.5,233068.159581568,316680.430217944
"53","18",26,233068.133475324,316680.929535943
"54","18",26.5,233068.10736908,316681.428853942
"55","18",27,233068.081262836,316681.928171941
"56","18",27.5,233068.055156593,316682.42748994
"57","18",28,233068.029050349,316682.926807939
"58","18",28.5,233068.002944105,316683.426125938
"59","18",29,233067.976837861,316683.925443937
"60","18",29.5,233067.950731618,316684.424761936
"61","18",30,233067.924625374,316684.924079935
"62","18",30.5,233067.89851913,316685.423397934
"63","18",31,233067.872412886,316685.922715933
"64","18",31.5,233067.846306643,316686.422033931
"65","18",32,233067.820200399,316686.92135193
"66","18",32.5,233067.794094155,316687.420669929
"67","18",33,233067.767987911,316687.919987928
"68","18",33.5,233067.741881667,316688.419305927
"69","18",34,233067.715775424,316688.918623926
"70","18",34.5,233067.68966918,316689.417941925
"71","18",35,233067.663562936,316689.917259924
"72","18",35.5,233067.637456692,316690.416577923
"73","18",36,233067.611350449,316690.915895922
"74","18",36.3706095907087,233067.592,316691.286
