fid,org_fid,distance,x,y
"1","14",0,233072.41,316600.961
"2","14",0.5,233072.29038694,316601.446481942
"3","14",1,233072.170773879,316601.931963884
"4","14",1.5,233072.051160819,316602.417445825
"5","14",2,233071.931547759,316602.902927767
"6","14",2.5,233071.811934699,316603.388409709
"7","14",3,233071.692321638,316603.873891651
"8","14",3.5,233071.572708578,316604.359373593
"9","14",4,233071.453095518,316604.844855534
"10","14",4.5,233071.333482457,316605.330337476
"11","14",5,233071.213869397,316605.815819418
"12","14",5.5,233071.094256337,316606.30130136
"13","14",6,233070.974643277,316606.786783302
"14","14",6.5,233070.855030216,316607.272265243
"15","14",7,233070.735417156,316607.757747185
"16","14",7.5,233070.615804096,316608.243229127
"17","14",8,233070.496191035,316608.728711069
"18","14",8.5,233070.376577975,316609.214193011
"19","14",9,233070.256964915,316609.699674952
"20","14",9.5,233070.137351855,316610.185156894
"21","14",10,233070.017738794,316610.670638836
"22","14",10.5,233069.898125734,316611.156120778
"23","14",11,233069.778512674,316611.641602719
"24","14",11.5,233069.658899613,316612.127084661
"25","14",12,233069.539286553,316612.612566603
"26","14",12.5,233069.419673493,316613.098048545
"27","14",13,233069.300060433,316613.583530487
"28","14",13.5,233069.180447372,316614.069012428
"29","14",13.8697228883676,233069.092,316614.428
