fid,org_fid,distance,x,y
"1","10",0,233050.377,316667.35
"2","10",0.5,233049.877545111,316667.326658761
"3","10",1,233049.378090221,316667.303317521
"4","10",1.5,233048.878635332,316667.279976282
"5","10",2,233048.379180442,316667.256635042
"6","10",2.5,233047.879725553,316667.233293803
"7","10",3,233047.380270664,316667.209952563
"8","10",3.5,233046.880815774,316667.186611324
"9","10",4,233046.381360885,316667.163270084
"10","10",4.5,233045.881905995,316667.139928845
"11","10",5,233045.382451106,316667.116587605
"12","10",5.5,233044.882996217,316667.093246366
"13","10",6,233044.383541327,316667.069905126
"14","10",6.5,233043.884086438,316667.046563887
"15","10",7,233043.384631548,316667.023222647
"16","10",7.5,233042.885176659,316666.999881408
"17","10",8,233042.38572177,316666.976540169
"18","10",8.5,233041.88626688,316666.953198929
"19","10",9,233041.386811991,316666.92985769
"20","10",9.5,233040.887357102,316666.90651645
"21","10",10,233040.387902212,316666.883175211
"22","10",10.5,233039.888447323,316666.859833971
"23","10",11,233039.388992433,316666.836492732
"24","10",11.5,233038.889537544,316666.813151492
"25","10",12,233038.390082655,316666.789810253
"26","10",12.5,233037.890627765,316666.766469013
"27","10",13,233037.391172876,316666.743127774
"28","10",13.5,233036.891717986,316666.719786534
"29","10",14,233036.392263097,316666.696445295
"30","10",14.5,233035.892808208,316666.673104055
"31","10",15,233035.393353318,316666.649762816
"32","10",15.5,233034.893898429,316666.626421577
"33","10",16,233034.394443539,316666.603080337
"34","10",16.5,233033.89498865,316666.579739098
"35","10",17,233033.395533761,316666.556397858
"36","10",17.5,233032.896078871,316666.533056619
"37","10",18,233032.396623982,316666.509715379
"38","10",18.5,233031.897169092,316666.48637414
"39","10",18.8935982015279,233031.504,316666.468
