fid,org_fid,distance,x,y
"1","15",0,233072.41,316600.961
"2","15",0.5,233072.388908089,316601.460554933
"3","15",1,233072.367816178,316601.960109866
"4","15",1.5,233072.346724267,316602.4596648
"5","15",2,233072.325632356,316602.959219733
"6","15",2.5,233072.304540444,316603.458774666
"7","15",3,233072.283448533,316603.958329599
"8","15",3.5,233072.262356622,316604.457884532
"9","15",4,233072.241264711,316604.957439466
"10","15",4.5,233072.2201728,316605.456994399
"11","15",5,233072.199080889,316605.956549332
"12","15",5.5,233072.177988978,316606.456104265
"13","15",6,233072.156897067,316606.955659198
"14","15",6.5,233072.135805155,316607.455214132
"15","15",7,233072.114713244,316607.954769065
"16","15",7.5,233072.093621333,316608.454323998
"17","15",8,233072.072529422,316608.953878931
"18","15",8.5,233072.051437511,316609.453433864
"19","15",9,233072.0303456,316609.952988798
"20","15",9.5,233072.009253689,316610.452543731
"21","15",10,233071.988161778,316610.952098664
"22","15",10.5,233071.967069867,316611.451653597
"23","15",11,233071.945977955,316611.95120853
"24","15",11.5,233071.924886044,316612.450763464
"25","15",12,233071.903794133,316612.950318397
"26","15",12.5,233071.882702222,316613.44987333
"27","15",13,233071.861610311,316613.949428263
"28","15",13.5,233071.8405184,316614.448983196
"29","15",13.6071121476687,233071.836,316614.556
