fid,org_fid,distance,x,y
"1","27",0,233058.789,316691.294
"2","27",0.5,233058.803022637,316690.794196673
"3","27",1,233058.817045273,316690.294393346
"4","27",1.5,233058.83106791,316689.794590019
"5","27",2,233058.845090546,316689.294786692
"6","27",2.5,233058.859113183,316688.794983365
"7","27",3,233058.873135819,316688.295180038
"8","27",3.5,233058.886903247,316687.795369785
"9","27",4,233058.900007918,316687.295541547
"10","27",4.5,233058.913112589,316686.795713309
"11","27",5,233058.926217259,316686.295885071
"12","27",5.5,233058.937826117,316685.796020226
"13","27",6,233058.949186963,316685.296149312
"14","27",6.5,233058.959578282,316684.796258249
"15","27",7,233058.968994637,316684.296346924
"16","27",7.5,233058.977208788,316683.796416143
"17","27",8,233058.983974646,316683.296461922
"18","27",8.5,233058.989172755,316682.796489886
"19","27",9,233058.99363578,316682.296510101
"20","27",9.5,233058.995886221,316681.796515165
"21","27",10,233058.996975752,316681.296517959
"22","27",10.5,233058.996681307,316680.796518046
"23","27",11,233058.993837029,316680.296526697
"24","27",11.5,233058.989207695,316679.796551123
"25","27",12,233058.982282779,316679.296600506
"26","27",12.5,233058.97162655,316678.796714074
"27","27",13,233058.956775097,316678.296937812
"28","27",13.5,233058.936835966,316677.797342914
"29","27",14,233058.909899182,316677.298080978
"30","27",14.5,233058.872862895,316676.799471582
"31","27",15,233058.815173485,316676.302883528
"32","27",15.5,233058.729465077,316675.810407372
"33","27",16,233058.616401361,316675.323435103
"34","27",16.5,233058.475822906,316674.843665196
"35","27",17,233058.312029758,316674.371343667
"36","27",17.5,233058.127268296,316673.906784391
"37","27",18,233057.922093445,316673.450866977
"38","27",18.5,233057.701826744,316673.002033936
"39","27",19,233057.465321649,316672.561536652
"40","27",19.5,233057.216704518,316672.127758249
"41","27",20,233056.956201148,316671.701009979
"42","27",20.5,233056.679216479,316671.284955385
"43","27",21,233056.374353445,316670.88888035
"44","27",21.5,233056.042620972,316670.514978266
"45","27",22,233055.684406284,316670.166332007
"46","27",22.5,233055.305642249,316669.840165891
"47","27",23,233054.908657324,316669.536400819
"48","27",23.5,233054.495698315,316669.254641753
"49","27",24,233054.072303645,316668.988730494
"50","27",24.5,233053.640342695,316668.737002945
"51","27",25,233053.20011926,316668.500040867
"52","27",25.5,233052.750309761,316668.281891639
"53","27",26,233052.292413832,316668.081165198
"54","27",26.5,233051.828119913,316667.895702726
"55","27",27,233051.361252861,316667.716776746
"56","27",27.5,233050.892726492,316667.542182814
"57","27",28,233050.424200122,316667.367588882
"58","27",28.050370827635,233050.377,316667.35
