fid,org_fid,distance,x,y
"1","31",0,233069.092,316614.428
"2","31",0.5,233069.062149595,316614.927108158
"3","31",1,233069.03229919,316615.426216316
"4","31",1.5,233069.002448785,316615.925324474
"5","31",2,233068.97259838,316616.424432632
"6","31",2.5,233068.942747975,316616.92354079
"7","31",3,233068.91289757,316617.422648948
"8","31",3.5,233068.883047165,316617.921757106
"9","31",4,233068.85319676,316618.420865263
"10","31",4.5,233068.823346355,316618.919973421
"11","31",5,233068.79349595,316619.419081579
"12","31",5.5,233068.763645545,316619.918189737
"13","31",6,233068.73379514,316620.417297895
"14","31",6.5,233068.703944735,316620.916406053
"15","31",7,233068.67409433,316621.415514211
"16","31",7.5,233068.644243925,316621.914622369
"17","31",8,233068.61439352,316622.413730527
"18","31",8.5,233068.584543115,316622.912838685
"19","31",9,233068.55469271,316623.411946843
"20","31",9.5,233068.524842305,316623.911055001
"21","31",10,233068.4949919,316624.410163159
"22","31",10.5,233068.465141495,316624.909271317
"23","31",11,233068.43529109,316625.408379475
"24","31",11.5,233068.405440685,316625.907487633
"25","31",12,233068.37559028,316626.406595791
"26","31",12.5,233068.345739875,316626.905703948
"27","31",13,233068.31588947,316627.404812106
"28","31",13.5,233068.286039065,316627.903920264
"29","31",14,233068.25618866,316628.403028422
"30","31",14.5,233068.226338255,316628.90213658
"31","31",15,233068.19648785,316629.401244738
"32","31",15.5,233068.166637445,316629.900352896
"33","31",16,233068.13678704,316630.399461054
"34","31",16.5,233068.106936635,316630.898569212
"35","31",17,233068.07708623,316631.39767737
"36","31",17.5,233068.047235825,316631.896785528
"37","31",18,233068.01738542,316632.395893686
"38","31",18.5,233067.987535015,316632.895001844
"39","31",19,233067.95768461,316633.394110002
"40","31",19.5,233067.927834205,316633.89321816
"41","31",20,233067.8979838,316634.392326317
"42","31",20.5,233067.868133395,316634.891434475
"43","31",21,233067.83828299,316635.390542633
"44","31",21.5,233067.808432585,316635.889650791
"45","31",22,233067.778582179,316636.388758949
"46","31",22.5,233067.748731774,316636.887867107
"47","31",23,233067.718881369,316637.386975265
"48","31",23.5,233067.689030964,316637.886083423
"49","31",24,233067.659180559,316638.385191581
"50","31",24.5,233067.629330154,316638.884299739
"51","31",25,233067.599479749,316639.383407897
"52","31",25.5,233067.569629344,316639.882516055
"53","31",26,233067.539778939,316640.381624213
"54","31",26.5,233067.509928534,316640.880732371
"55","31",27,233067.480078129,316641.379840529
"56","31",27.5,233067.450227724,316641.878948687
"57","31",28,233067.420377319,316642.378056845
"58","31",28.5,233067.390526914,316642.877165003
"59","31",29,233067.360676509,316643.37627316
"60","31",29.5,233067.330826104,316643.875381318
"61","31",30,233067.300975699,316644.374489476
"62","31",30.5,233067.271125294,316644.873597634
"63","31",31,233067.241274889,316645.372705792
"64","31",31.5,233067.211424484,316645.87181395
"65","31",32,233067.181574079,316646.370922108
"66","31",32.5,233067.151723674,316646.870030266
"67","31",33,233067.121873269,316647.369138424
"68","31",33.5,233067.092022864,316647.868246582
"69","31",34,233067.062172459,316648.36735474
"70","31",34.5,233067.032322054,316648.866462898
"71","31",35,233067.002471649,316649.365571056
"72","31",35.5,233066.972621244,316649.864679214
"73","31",36,233066.942770839,316650.363787372
"74","31",36.5,233066.912920434,316650.86289553
"75","31",37,233066.883070029,316651.362003687
"76","31",37.5,233066.853219624,316651.861111845
"77","31",38,233066.823369219,316652.360220003
"78","31",38.5,233066.793518814,316652.859328161
"79","31",39,233066.763668409,316653.358436319
"80","31",39.5,233066.733818004,316653.857544477
"81","31",40,233066.703967599,316654.356652635
"82","31",40.485212831355,233066.675,316654.841
