fid,org_fid,distance,x,y
"1","6",0,233067.592,316691.286
"2","6",0.5,233067.565143582,316691.785278212
"3","6",1,233067.538287164,316692.284556424
"4","6",1.5,233067.511430747,316692.783834636
"5","6",2,233067.484574329,316693.283112847
"6","6",2.5,233067.457717911,316693.782391059
"7","6",3,233067.430861493,316694.281669271
"8","6",3.5,233067.404005075,316694.780947483
"9","6",4,233067.377148658,316695.280225695
"10","6",4.5,233067.35029224,316695.779503907
"11","6",5,233067.323435822,316696.278782118
"12","6",5.5,233067.296579404,316696.77806033
"13","6",6,233067.269722986,316697.277338542
"14","6",6.5,233067.242866569,316697.776616754
"15","6",7,233067.216010151,316698.275894966
"16","6",7.5,233067.189153733,316698.775173178
"17","6",8,233067.162297315,316699.27445139
"18","6",8.5,233067.135440897,316699.773729601
"19","6",9,233067.10858448,316700.273007813
"20","6",9.5,233067.081728062,316700.772286025
"21","6",10,233067.054871644,316701.271564237
"22","6",10.5,233067.028015226,316701.770842449
"23","6",11,233067.001158808,316702.270120661
"24","6",11.5,233066.974302391,316702.769398872
"25","6",12,233066.947445973,316703.268677084
"26","6",12.5,233066.920589555,316703.767955296
"27","6",13,233066.893733137,316704.267233508
"28","6",13.5,233066.866876719,316704.76651172
"29","6",14,233066.840020302,316705.265789932
"30","6",14.5,233066.813163884,316705.765068143
"31","6",15,233066.786307466,316706.264346355
"32","6",15.5,233066.759451048,316706.763624567
"33","6",16,233066.73259463,316707.262902779
"34","6",16.5,233066.705738213,316707.762180991
"35","6",17,233066.678881795,316708.261459203
"36","6",17.5,233066.652025377,316708.760737415
"37","6",18,233066.625168959,316709.260015626
"38","6",18.5,233066.598312541,316709.759293838
"39","6",19,233066.571456123,316710.25857205
"40","6",19.5,233066.544599706,316710.757850262
"41","6",20,233066.517743288,316711.257128474
"42","6",20.5,233066.49088687,316711.756406686
"43","6",21,233066.464030452,316712.255684897
"44","6",21.5,233066.437174034,316712.754963109
"45","6",22,233066.410317617,316713.254241321
"46","6",22.5,233066.383461199,316713.753519533
"47","6",22.6947616202043,233066.373,316713.948
