fid,org_fid,distance,x,y
"1","25",0,233061.641,316691.301
"2","25",0.5,233061.667118349,316690.801682634
"3","25",1,233061.693236698,316690.302365268
"4","25",1.5,233061.719355047,316689.803047902
"5","25",2,233061.745473396,316689.303730537
"6","25",2.5,233061.771591745,316688.804413171
"7","25",3,233061.797710094,316688.305095805
"8","25",3.5,233061.823828443,316687.805778439
"9","25",4,233061.849946792,316687.306461073
"10","25",4.5,233061.876065141,316686.807143707
"11","25",5,233061.90218349,316686.307826341
"12","25",5.5,233061.928301839,316685.808508976
"13","25",6,233061.954420188,316685.30919161
"14","25",6.5,233061.980538537,316684.809874244
"15","25",7,233062.006656886,316684.310556878
"16","25",7.5,233062.032775234,316683.811239512
"17","25",8,233062.058893583,316683.311922146
"18","25",8.5,233062.085011932,316682.81260478
"19","25",9,233062.111130281,316682.313287414
"20","25",9.5,233062.13724863,316681.813970049
"21","25",10,233062.163366979,316681.314652683
"22","25",10.5,233062.189485328,316680.815335317
"23","25",11,233062.215603677,316680.316017951
"24","25",11.5,233062.241722026,316679.816700585
"25","25",12,233062.267840375,316679.317383219
"26","25",12.5,233062.293958724,316678.818065854
"27","25",13,233062.320077073,316678.318748488
"28","25",13.5,233062.346195422,316677.819431122
"29","25",14,233062.372313771,316677.320113756
"30","25",14.5,233062.39843212,316676.82079639
"31","25",15,233062.424550469,316676.321479024
"32","25",15.5,233062.450668818,316675.822161658
"33","25",16,233062.476787167,316675.322844293
"34","25",16.5,233062.502905516,316674.823526927
"35","25",17,233062.529023865,316674.324209561
"36","25",17.5,233062.555142214,316673.824892195
"37","25",18,233062.581260563,316673.325574829
"38","25",18.5,233062.607378912,316672.826257463
"39","25",19,233062.633497261,316672.326940097
"40","25",19.5,233062.65961561,316671.827622732
"41","25",20,233062.685733959,316671.328305366
"42","25",20.5,233062.711852308,316670.828988
"43","25",21,233062.737970657,316670.329670634
"44","25",21.5,233062.764089006,316669.830353268
"45","25",22,233062.790207354,316669.331035902
"46","25",22.5,233062.816325703,316668.831718536
"47","25",23,233062.842444052,316668.332401171
"48","25",23.5,233062.868562401,316667.833083805
"49","25",24,233062.89468075,316667.333766439
"50","25",24.5,233062.920799099,316666.834449073
"51","25",25,233062.946917448,316666.335131707
"52","25",25.5,233062.973035797,316665.835814341
"53","25",26,233062.999154146,316665.336496975
"54","25",26.5,233063.025272495,316664.83717961
"55","25",27,233063.051390844,316664.337862244
"56","25",27.5,233063.077509193,316663.838544878
"57","25",28,233063.103627542,316663.339227512
"58","25",28.5,233063.129745891,316662.839910146
"59","25",29,233063.15586424,316662.34059278
"60","25",29.5,233063.181982589,316661.841275414
"61","25",30,233063.208100938,316661.341958049
"62","25",30.5,233063.234219287,316660.842640683
"63","25",31,233063.260337636,316660.343323317
"64","25",31.5,233063.286455985,316659.844005951
"65","25",32,233063.312574334,316659.344688585
"66","25",32.5,233063.338692683,316658.845371219
"67","25",33,233063.364811032,316658.346053853
"68","25",33.5,233063.390929381,316657.846736488
"69","25",34,233063.41704773,316657.347419122
"70","25",34.5,233063.443166079,316656.848101756
"71","25",35,233063.469284428,316656.34878439
"72","25",35.5,233063.495402777,316655.849467024
"73","25",36,233063.521521126,316655.350149658
"74","25",36.5,233063.547639474,316654.850832292
"75","25",36.660050804643,233063.556,316654.691
