fid,org_fid,distance,x,y
"1","13",0,233063.556,316654.691
"2","13",0.5,233063.583,316654.192
"3","13",1,233063.609,316653.692
"4","13",1.5,233063.636,316653.193
"5","13",2,233063.662,316652.694
"6","13",2.5,233063.689,316652.195
"7","13",3,233063.715,316651.695
"8","13",3.5,233063.742,316651.196
"9","13",4,233063.768,316650.697
"10","13",4.5,233063.795,316650.197
"11","13",5,233063.821,316649.698
"12","13",5.5,233063.848,316649.199
"13","13",6,233063.875,316648.699
"14","13",6.5,233063.901,316648.2
"15","13",7,233063.928,316647.701
"16","13",7.5,233063.954,316647.202
"17","13",8,233063.981,316646.702
"18","13",8.5,233064.007,316646.203
"19","13",9,233064.034,316645.704
"20","13",9.5,233064.06,316645.204
"21","13",10,233064.087,316644.705
"22","13",10.5,233064.114,316644.206
"23","13",11,233064.14,316643.707
"24","13",11.5,233064.167,316643.207
"25","13",12,233064.193,316642.708
"26","13",12.5,233064.22,316642.209
"27","13",13,233064.246,316641.709
"28","13",13.5,233064.273,316641.21
"29","13",14,233064.299,316640.711
"30","13",14.5,233064.326,316640.211
"31","13",15,233064.352,316639.712
"32","13",15.5,233064.379,316639.213
"33","13",16,233064.406,316638.714
"34","13",16.5,233064.432,316638.214
"35","13",17,233064.459,316637.715
"36","13",17.5,233064.485,316637.216
"37","13",18,233064.512,316636.716
"38","13",18.5,233064.538,316636.217
"39","13",19,233064.565,316635.718
"40","13",19.5,233064.591,316635.219
"41","13",20,233064.618,316634.719
"42","13",20.5,233064.644,316634.22
"43","13",21,233064.671,316633.721
"44","13",21.5,233064.698,316633.221
"45","13",22,233064.724,316632.722
"46","13",22.5,233064.751,316632.223
"47","13",23,233064.777,316631.723
"48","13",23.5,233064.804,316631.224
"49","13",24,233064.83,316630.725
"50","13",24.5,233064.857,316630.226
"51","13",25,233064.883,316629.726
"52","13",25.5,233064.91,316629.227
"53","13",26,233064.936,316628.728
"54","13",26.5,233064.963,316628.228
"55","13",27,233064.99,316627.729
"56","13",27.5,233065.016,316627.23
"57","13",28,233065.043,316626.73
"58","13",28.5,233065.069,316626.231
"59","13",29,233065.096,316625.732
"60","13",29.5,233065.122,316625.233
"61","13",30,233065.149,316624.733
"62","13",30.5,233065.175,316624.234
"63","13",31,233065.202,316623.735
"64","13",31.5,233065.229,316623.235
"65","13",32,233065.255,316622.736
"66","13",32.5,233065.282,316622.237
"67","13",33,233065.308,316621.738
"68","13",33.5,233065.335,316621.238
"69","13",34,233065.361,316620.739
"70","13",34.5,233065.388,316620.24
"71","13",35,233065.414,316619.74
"72","13",35.5,233065.441,316619.241
"73","13",36,233065.467,316618.742
"74","13",36.5,233065.494,316618.242
"75","13",37,233065.521,316617.743
"76","13",37.5,233065.547,316617.244
"77","13",38,233065.574,316616.745
"78","13",38.5,233065.6,316616.245
"79","13",39,233065.627,316615.746
"80","13",39.5,233065.653,316615.247
"81","13",40,233065.68,316614.747
"82","13",40.4740915895734,233065.705,316614.274
