fid,org_fid,distance,x,y
"1","11",0,233031.697,316662.857
"2","11",0.5,233032.196553235,316662.878132096
"3","11",1,233032.69610647,316662.899264193
"4","11",1.5,233033.195659705,316662.920396289
"5","11",2,233033.69521294,316662.941528385
"6","11",2.5,233034.194766175,316662.962660481
"7","11",3,233034.694319409,316662.983792578
"8","11",3.5,233035.193872644,316663.004924674
"9","11",4,233035.693425879,316663.02605677
"10","11",4.5,233036.192979114,316663.047188867
"11","11",5,233036.692532349,316663.068320963
"12","11",5.5,233037.192085584,316663.089453059
"13","11",6,233037.691638819,316663.110585155
"14","11",6.5,233038.191192054,316663.131717252
"15","11",7,233038.690745289,316663.152849348
"16","11",7.5,233039.190298524,316663.173981444
"17","11",8,233039.689851759,316663.195113541
"18","11",8.5,233040.189404993,316663.216245637
"19","11",9,233040.688958228,316663.237377733
"20","11",9.5,233041.188511463,316663.25850983
"21","11",10,233041.688064698,316663.279641926
"22","11",10.5,233042.187617933,316663.300774022
"23","11",11,233042.687171168,316663.321906118
"24","11",11.5,233043.186724403,316663.343038215
"25","11",12,233043.686277638,316663.364170311
"26","11",12.5,233044.185830873,316663.385302407
"27","11",13,233044.685384108,316663.406434504
"28","11",13.5,233045.184937342,316663.4275666
"29","11",14,233045.684490577,316663.448698696
"30","11",14.5,233046.184043812,316663.469830792
"31","11",15,233046.683597047,316663.490962889
"32","11",15.5,233047.183150282,316663.512094985
"33","11",16,233047.682703517,316663.533227081
"34","11",16.5,233048.182256752,316663.554359178
"35","11",17,233048.681809987,316663.575491274
"36","11",17.5,233049.181363222,316663.59662337
"37","11",18,233049.680916457,316663.617755466
"38","11",18.5,233050.180469692,316663.638887563
"39","11",18.9048920917374,233050.585,316663.656
