fid,org_fid,distance,x,y
"1","22",0,233081.692,316668.618
"2","22",0.5,233081.192409393,316668.597770688
"3","22",1,233080.692818785,316668.577541377
"4","22",1.5,233080.193228178,316668.557312065
"5","22",2,233079.693637571,316668.537082754
"6","22",2.5,233079.194046963,316668.516853442
"7","22",3,233078.694456356,316668.496624131
"8","22",3.5,233078.194865749,316668.476394819
"9","22",4,233077.695275141,316668.456165508
"10","22",4.5,233077.195684534,316668.435936196
"11","22",5,233076.696093926,316668.415706885
"12","22",5.5,233076.196503319,316668.395477573
"13","22",6,233075.696912712,316668.375248262
"14","22",6.5,233075.197322104,316668.35501895
"15","22",7,233074.697731497,316668.334789639
"16","22",7.5,233074.19814089,316668.314560327
"17","22",8,233073.698550282,316668.294331016
"18","22",8.5,233073.198959675,316668.274101704
"19","22",9,233072.699369068,316668.253872393
"20","22",9.5,233072.19977846,316668.233643081
"21","22",10,233071.700187853,316668.21341377
"22","22",10.5,233071.200597246,316668.193184458
"23","22",11,233070.701006638,316668.172955147
"24","22",11.5,233070.201416031,316668.152725835
"25","22",12,233069.701825424,316668.132496524
"26","22",12.5,233069.202234816,316668.112267212
"27","22",13,233068.702644209,316668.092037901
"28","22",13.5,233068.203053601,316668.071808589
"29","22",14,233067.703462994,316668.051579277
"30","22",14.5,233067.203872387,316668.031349966
"31","22",15,233066.704281779,316668.011120655
"32","22",15.5,233066.204691172,316667.990891343
"33","22",16,233065.705100565,316667.970662031
"34","22",16.5,233065.205509957,316667.95043272
"35","22",17,233064.70591935,316667.930203408
"36","22",17.5,233064.206328743,316667.909974097
"37","22",18,233063.706738135,316667.889744785
"38","22",18.5,233063.207147528,316667.869515474
"39","22",19,233062.707556921,316667.849286162
"40","22",19.5,233062.207966313,316667.829056851
"41","22",20,233061.708375706,316667.808827539
"42","22",20.5,233061.208785099,316667.788598228
"43","22",21,233060.709194491,316667.768368916
"44","22",21.5,233060.209603884,316667.748139605
"45","22",22,233059.710013276,316667.727910293
"46","22",22.5,233059.210422669,316667.707680982
"47","22",23,233058.710832062,316667.68745167
"48","22",23.5,233058.211241454,316667.667222359
"49","22",24,233057.711650847,316667.646993047
"50","22",24.5,233057.21206024,316667.626763736
"51","22",25,233056.712469632,316667.606534424
"52","22",25.5,233056.212879025,316667.586305113
"53","22",26,233055.713288418,316667.566075801
"54","22",26.5,233055.21369781,316667.54584649
"55","22",27,233054.714107203,316667.525617178
"56","22",27.5,233054.214516596,316667.505387867
"57","22",28,233053.714925988,316667.485158555
"58","22",28.5,233053.215335381,316667.464929244
"59","22",29,233052.715744774,316667.444699932
"60","22",29.5,233052.216154166,316667.424470621
"61","22",30,233051.716563559,316667.404241309
"62","22",30.5,233051.216972951,316667.384011997
"63","22",31,233050.717382344,316667.363782686
"64","22",31.3406612725425,233050.377,316667.35
