fid,org_fid,distance,x,y
"1","24",0,233064.469,316691.313
"2","24",0.5,233064.494158051,316690.813633329
"3","24",1,233064.519316102,316690.314266657
"4","24",1.5,233064.544474153,316689.814899986
"5","24",2,233064.569632204,316689.315533315
"6","24",2.5,233064.594790256,316688.816166643
"7","24",3,233064.620023469,316688.316803802
"8","24",3.5,233064.645754838,316687.817466344
"9","24",4,233064.671486206,316687.318128886
"10","24",4.5,233064.697412593,316686.818801698
"11","24",5,233064.724264573,316686.319523247
"12","24",5.5,233064.751340901,316685.820257155
"13","24",6,233064.779493633,316685.321050361
"14","24",6.5,233064.808531623,316684.821895151
"15","24",7,233064.838679134,316684.322805043
"16","24",7.5,233064.870312286,316683.823806702
"17","24",8,233064.903364393,316683.324900943
"18","24",8.5,233064.937999618,316682.826103104
"19","24",9,233064.974606109,316682.327446422
"20","24",9.5,233065.014058415,316681.829008821
"21","24",10,233065.057346557,316681.33088993
"22","24",10.5,233065.104767197,316680.833147848
"23","24",11,233065.156647028,316680.335851382
"24","24",11.5,233065.213346419,316679.839082137
"25","24",12,233065.275263565,316679.342937054
"26","24",12.5,233065.342839203,316678.847531485
"27","24",13,233065.41656196,316678.353002953
"28","24",13.5,233065.491925636,316677.858715268
"29","24",14,233065.567350815,316677.364436963
"30","24",14.5,233065.642829676,316676.870166854
"31","24",15,233065.718361106,316676.375904775
"32","24",15.5,233065.793944022,316675.881650567
"33","24",16,233065.869577369,316675.387404074
"34","24",16.5,233065.945260123,316674.893165143
"35","24",17,233066.023767712,316674.399368747
"36","24",17.5,233066.107612035,316673.906452678
"37","24",18,233066.197781669,316673.414658039
"38","24",18.5,233066.299221584,316672.925079995
"39","24",19,233066.421324314,316672.440316237
"40","24",19.5,233066.577754676,316671.965531505
"41","24",20,233066.767578713,316671.503116224
"42","24",20.5,233066.989923149,316671.055398677
"43","24",21,233067.226737151,316670.615043758
"44","24",21.5,233067.475246068,316670.181218516
"45","24",22,233067.75673563,316669.768224549
"46","24",22.5,233068.066455276,316669.375771418
"47","24",23,233068.404917146,316669.008079065
"48","24",23.5,233068.781710676,316668.679795703
"49","24",24,233069.192155697,316668.394776065
"50","24",24.5,233069.621354369,316668.138369684
"51","24",25,233070.057322406,316667.893585083
"52","24",25.5,233070.497219236,316667.655916335
"53","24",26,233070.939389519,316667.422501154
"54","24",26.5,233071.390848054,316667.20775446
"55","24",27,233071.852656721,316667.016177893
"56","24",27.5,233072.321602605,316666.842796616
"57","24",28,233072.796026752,316666.68499876
"58","24",28.5,233073.274767668,316666.540778495
"59","24",29,233073.757170284,316666.409295735
"60","24",29.5,233074.242501045,316666.28911485
"61","24",30,233074.73004698,316666.178322408
"62","24",30.5,233075.218743431,316666.072631681
"63","24",31,233075.708310857,316665.971058635
"64","24",31.5,233076.198907392,316665.874586989
"65","24",32,233076.690720157,316665.784538822
"66","24",32.5,233077.183964431,316665.702731412
"67","24",33,233077.678872157,316665.631728182
"68","24",33.5,233078.175900995,316665.577899444
"69","24",34,233078.674479159,316665.540236792
"70","24",34.5,233079.173348575,316665.506655121
"71","24",35,233079.672456631,316665.47684864
"72","24",35.5,233080.171805814,316665.451375354
"73","24",36,233080.671298472,316665.428882528
"74","24",36.5,233081.170858589,316665.407923176
"75","24",37,233081.670438509,316665.38743163
"76","24",37.2057343402255,233081.876,316665.379
