fid,org_fid,distance,x,y
"1","4",0,233095.206,316669.486
"2","4",0.5,233094.707028183,316669.453951196
"3","4",1,233094.208056366,316669.421902392
"4","4",1.5,233093.709084549,316669.389853588
"5","4",2,233093.210112732,316669.357804784
"6","4",2.5,233092.711140915,316669.32575598
"7","4",3,233092.212169098,316669.293707176
"8","4",3.5,233091.713197281,316669.261658372
"9","4",4,233091.214225464,316669.229609568
"10","4",4.5,233090.715253647,316669.197560764
"11","4",5,233090.21628183,316669.16551196
"12","4",5.5,233089.717310013,316669.133463156
"13","4",6,233089.218338196,316669.101414352
"14","4",6.5,233088.719366379,316669.069365548
"15","4",7,233088.220394562,316669.037316744
"16","4",7.5,233087.721422745,316669.00526794
"17","4",8,233087.222450928,316668.973219136
"18","4",8.5,233086.723479111,316668.941170332
"19","4",9,233086.224507294,316668.909121528
"20","4",9.5,233085.725535477,316668.877072724
"21","4",10,233085.22656366,316668.84502392
"22","4",10.5,233084.727591843,316668.812975116
"23","4",11,233084.228620026,316668.780926312
"24","4",11.5,233083.729648209,316668.748877508
"25","4",12,233083.230676392,316668.716828704
"26","4",12.5,233082.731704575,316668.6847799
"27","4",13,233082.232732758,316668.652731096
"28","4",13.5,233081.733760941,316668.620682292
"29","4",13.5418469936641,233081.692,316668.618
