fid,org_fid,distance,x,y
"1","26",0,233058.789,316691.294
"2","26",0.5,233058.815173196,316690.794685506
"3","26",1,233058.841346392,316690.295371012
"4","26",1.5,233058.867519588,316689.796056518
"5","26",2,233058.893692784,316689.296742024
"6","26",2.5,233058.91986598,316688.797427531
"7","26",3,233058.946039176,316688.298113037
"8","26",3.5,233058.972212372,316687.798798543
"9","26",4,233058.998385568,316687.299484049
"10","26",4.5,233059.024558764,316686.800169555
"11","26",5,233059.05073196,316686.300855061
"12","26",5.5,233059.076905156,316685.801540567
"13","26",6,233059.103078351,316685.302226073
"14","26",6.5,233059.129251547,316684.802911579
"15","26",7,233059.155424743,316684.303597085
"16","26",7.5,233059.181597939,316683.804282592
"17","26",8,233059.207771135,316683.304968098
"18","26",8.5,233059.233944331,316682.805653604
"19","26",9,233059.260117527,316682.30633911
"20","26",9.5,233059.286290723,316681.807024616
"21","26",10,233059.312463919,316681.307710122
"22","26",10.5,233059.338637115,316680.808395628
"23","26",11,233059.364810311,316680.309081134
"24","26",11.5,233059.390983507,316679.80976664
"25","26",12,233059.417156703,316679.310452147
"26","26",12.5,233059.443329899,316678.811137653
"27","26",13,233059.469503095,316678.311823159
"28","26",13.5,233059.495676291,316677.812508665
"29","26",14,233059.521849487,316677.313194171
"30","26",14.5,233059.548022683,316676.813879677
"31","26",15,233059.574195879,316676.314565183
"32","26",15.5,233059.600369075,316675.815250689
"33","26",16,233059.626542271,316675.315936195
"34","26",16.5,233059.652715467,316674.816621701
"35","26",17,233059.678888662,316674.317307208
"36","26",17.5,233059.705061858,316673.817992714
"37","26",18,233059.731235054,316673.31867822
"38","26",18.5,233059.75740825,316672.819363726
"39","26",19,233059.783581446,316672.320049232
"40","26",19.5,233059.809754642,316671.820734738
"41","26",20,233059.835927838,316671.321420244
"42","26",20.5,233059.862101034,316670.82210575
"43","26",21,233059.88827423,316670.322791256
"44","26",21.5,233059.914447426,316669.823476763
"45","26",22,233059.940620622,316669.324162269
"46","26",22.5,233059.966793818,316668.824847775
"47","26",23,233059.992967014,316668.325533281
"48","26",23.5,233060.01914021,316667.826218787
"49","26",24,233060.045313406,316667.326904293
"50","26",24.5,233060.071486602,316666.827589799
"51","26",25,233060.097659798,316666.328275305
"52","26",25.5,233060.123832994,316665.828960811
"53","26",26,233060.15000619,316665.329646317
"54","26",26.5,233060.176179386,316664.830331824
"55","26",27,233060.202352582,316664.33101733
"56","26",27.5,233060.228525778,316663.831702836
"57","26",28,233060.254698974,316663.332388342
"58","26",28.5,233060.280872169,316662.833073848
"59","26",29,233060.307045365,316662.333759354
"60","26",29.5,233060.333218561,316661.83444486
"61","26",30,233060.359391757,316661.335130366
"62","26",30.5,233060.385564953,316660.835815872
"63","26",31,233060.411738149,316660.336501379
"64","26",31.5,233060.437911345,316659.837186885
"65","26",32,233060.464084541,316659.337872391
"66","26",32.5,233060.490257737,316658.838557897
"67","26",33,233060.516430933,316658.339243403
"68","26",33.5,233060.542604129,316657.839928909
"69","26",34,233060.568777325,316657.340614415
"70","26",34.5,233060.594950521,316656.841299921
"71","26",35,233060.621123717,316656.341985427
"72","26",35.5,233060.647296913,316655.842670933
"73","26",36,233060.673470109,316655.34335644
"74","26",36.5,233060.699643305,316654.844041946
"75","26",36.8124703463255,233060.716,316654.532
