fid,org_fid,distance,x,y
"1","20",0,233072.191,316655.092
"2","20",0.5,233072.230781793,316655.590414896
"3","20",1,233072.270563586,316656.088829793
"4","20",1.5,233072.312850748,316656.587034191
"5","20",2,233072.360052288,316657.084784913
"6","20",2.5,233072.417831341,316657.581412445
"7","20",3,233072.49643784,316658.075130403
"8","20",3.5,233072.601678178,316658.563805663
"9","20",4,233072.741528768,316659.043769931
"10","20",4.5,233072.901058341,316659.517597074
"11","20",5,233073.079987079,316659.984434684
"12","20",5.5,233073.281801871,316660.441769629
"13","20",6,233073.519033784,316660.881761258
"14","20",6.5,233073.783781346,316661.305817671
"15","20",7,233074.0693302,316661.716184111
"16","20",7.5,233074.371665479,316662.114357339
"17","20",8,233074.691331493,316662.498733606
"18","20",8.5,233075.030626188,316662.865871531
"19","20",9,233075.392563636,316663.210651701
"20","20",9.5,233075.781872935,316663.52412371
"21","20",10,233076.194816919,316663.805765736
"22","20",10.5,233076.627719546,316664.055720715
"23","20",11,233077.077182593,316664.274514684
"24","20",11.5,233077.539666034,316664.46428265
"25","20",12,233078.011910583,316664.628323293
"26","20",12.5,233078.491437552,316664.769751931
"27","20",13,233078.976075944,316664.892679545
"28","20",13.5,233079.464000264,316665.001826598
"29","20",14,233079.954815755,316665.097041006
"30","20",14.5,233080.448021642,316665.179103405
"31","20",15,233080.942795339,316665.251201066
"32","20",15.5,233081.4381717,316665.31904103
"33","20",15.9419148086019,233081.876,316665.379
