fid,org_fid,distance,x,y
"1","9",0,233057.649,316713.92
"2","9",0.5,233057.674160341,316713.420633444
"3","9",1,233057.699320682,316712.921266888
"4","9",1.5,233057.724481023,316712.421900332
"5","9",2,233057.749641364,316711.922533776
"6","9",2.5,233057.774801705,316711.42316722
"7","9",3,233057.799962046,316710.923800664
"8","9",3.5,233057.825122387,316710.424434108
"9","9",4,233057.850282727,316709.925067552
"10","9",4.5,233057.875443068,316709.425700996
"11","9",5,233057.900603409,316708.92633444
"12","9",5.5,233057.92576375,316708.426967884
"13","9",6,233057.950924091,316707.927601328
"14","9",6.5,233057.976084432,316707.428234772
"15","9",7,233058.001244773,316706.928868216
"16","9",7.5,233058.026405114,316706.42950166
"17","9",8,233058.051565455,316705.930135104
"18","9",8.5,233058.076725796,316705.430768548
"19","9",9,233058.101886137,316704.931401992
"20","9",9.5,233058.127046478,316704.432035436
"21","9",10,233058.152206819,316703.93266888
"22","9",10.5,233058.17736716,316703.433302324
"23","9",11,233058.2025275,316702.933935768
"24","9",11.5,233058.227687841,316702.434569212
"25","9",12,233058.252848182,316701.935202656
"26","9",12.5,233058.278008523,316701.4358361
"27","9",13,233058.303168864,316700.936469544
"28","9",13.5,233058.328329205,316700.437102988
"29","9",14,233058.353489546,316699.937736432
"30","9",14.5,233058.378649887,316699.438369876
"31","9",15,233058.403810228,316698.93900332
"32","9",15.5,233058.428970569,316698.439636764
"33","9",16,233058.45413091,316697.940270208
"34","9",16.5,233058.479291251,316697.440903652
"35","9",17,233058.504451592,316696.941537096
"36","9",17.5,233058.529611932,316696.44217054
"37","9",18,233058.554772273,316695.942803984
"38","9",18.5,233058.579932614,316695.443437428
"39","9",19,233058.605092955,316694.944070872
"40","9",19.5,233058.630253296,316694.444704316
"41","9",20,233058.655413637,316693.94533776
"42","9",20.5,233058.680573978,316693.445971204
"43","9",21,233058.705734319,316692.946604648
"44","9",21.5,233058.73089466,316692.447238092
"45","9",22,233058.756055001,316691.947871536
"46","9",22.5,233058.781215342,316691.44850498
"47","9",22.6547009691031,233058.789,316691.294
