fid,org_fid,distance,x,y
"1","29",0,233050.585,316663.656
"2","29",0.5,233051.084243715,316663.683490234
"3","29",1,233051.58348743,316663.710980469
"4","29",1.5,233052.082731145,316663.738470703
"5","29",2,233052.58197486,316663.765960937
"6","29",2.5,233053.081218575,316663.793451171
"7","29",3,233053.58046229,316663.820941406
"8","29",3.5,233054.079706005,316663.84843164
"9","29",4,233054.57894972,316663.875921874
"10","29",4.5,233055.078193435,316663.903412109
"11","29",5,233055.57743715,316663.930902343
"12","29",5.5,233056.076680866,316663.958392577
"13","29",6,233056.575924581,316663.985882811
"14","29",6.5,233057.075168296,316664.013373046
"15","29",7,233057.574412011,316664.04086328
"16","29",7.5,233058.073655726,316664.068353514
"17","29",8,233058.572899441,316664.095843749
"18","29",8.5,233059.072143156,316664.123333983
"19","29",9,233059.571386871,316664.150824217
"20","29",9.5,233060.070630586,316664.178314451
"21","29",10,233060.569874301,316664.205804686
"22","29",10.5,233061.069118016,316664.23329492
"23","29",11,233061.568361731,316664.260785154
"24","29",11.5,233062.067605446,316664.288275389
"25","29",12,233062.566849161,316664.315765623
"26","29",12.5,233063.066092876,316664.343255857
"27","29",13,233063.565336591,316664.370746091
"28","29",13.5,233064.064580306,316664.398236326
"29","29",14,233064.563824021,316664.42572656
"30","29",14.5,233065.063067737,316664.453216794
"31","29",15,233065.562311452,316664.480707029
"32","29",15.5,233066.061555167,316664.508197263
"33","29",16,233066.560798882,316664.535687497
"34","29",16.5,233067.060042597,316664.563177731
"35","29",17,233067.559286312,316664.590667966
"36","29",17.5,233068.058530027,316664.6181582
"37","29",18,233068.557773742,316664.645648434
"38","29",18.5,233069.057017457,316664.673138669
"39","29",19,233069.556261172,316664.700628903
"40","29",19.5,233070.055504887,316664.728119137
"41","29",20,233070.554748602,316664.755609371
"42","29",20.5,233071.053992317,316664.783099606
"43","29",21,233071.553236032,316664.81058984
"44","29",21.5,233072.052479747,316664.838080074
"45","29",22,233072.551723462,316664.865570309
"46","29",22.5,233073.050967177,316664.893060543
"47","29",23,233073.550210892,316664.920550777
"48","29",23.5,233074.049454607,316664.948041011
"49","29",24,233074.548698322,316664.975531246
"50","29",24.5,233075.047942038,316665.00302148
"51","29",25,233075.547185753,316665.030511714
"52","29",25.5,233076.046429468,316665.058001949
"53","29",26,233076.545673183,316665.085492183
"54","29",26.5,233077.044916898,316665.112982417
"55","29",27,233077.544160613,316665.140472651
"56","29",27.5,233078.043404328,316665.167962886
"57","29",28,233078.542648043,316665.19545312
"58","29",28.5,233079.041891758,316665.222943354
"59","29",29,233079.541135473,316665.250433589
"60","29",29.5,233080.040379188,316665.277923823
"61","29",30,233080.539622903,316665.305414057
"62","29",30.5,233081.038866618,316665.332904291
"63","29",31,233081.538110333,316665.360394526
"64","29",31.3384015227298,233081.876,316665.379
