fid,org_fid,distance,x,y
"1","2",0,233074.549,316614.683
"2","2",0.5,233074.51987288,316615.18215089
"3","2",1,233074.49074576,316615.68130178
"4","2",1.5,233074.46161864,316616.18045267
"5","2",2,233074.432491519,316616.67960356
"6","2",2.5,233074.403364399,316617.178754449
"7","2",3,233074.374237279,316617.677905339
"8","2",3.5,233074.345110159,316618.177056229
"9","2",4,233074.315983039,316618.676207119
"10","2",4.5,233074.286855919,316619.175358009
"11","2",5,233074.257728798,316619.674508899
"12","2",5.5,233074.228601678,316620.173659789
"13","2",6,233074.199474558,316620.672810679
"14","2",6.5,233074.170347438,316621.171961569
"15","2",7,233074.141220318,316621.671112458
"16","2",7.5,233074.112093198,316622.170263348
"17","2",8,233074.082966077,316622.669414238
"18","2",8.5,233074.053838957,316623.168565128
"19","2",9,233074.024711837,316623.667716018
"20","2",9.5,233073.995584717,316624.166866908
"21","2",10,233073.966457597,316624.666017798
"22","2",10.5,233073.937330477,316625.165168688
"23","2",11,233073.908203357,316625.664319577
"24","2",11.5,233073.879076236,316626.163470467
"25","2",12,233073.849949116,316626.662621357
"26","2",12.5,233073.820821996,316627.161772247
"27","2",13,233073.791694876,316627.660923137
"28","2",13.5,233073.762567756,316628.160074027
"29","2",14,233073.733440636,316628.659224917
"30","2",14.5,233073.704313516,316629.158375807
"31","2",15,233073.675186395,316629.657526697
"32","2",15.5,233073.646059275,316630.156677586
"33","2",16,233073.616932155,316630.655828476
"34","2",16.5,233073.587805035,316631.154979366
"35","2",17,233073.558677915,316631.654130256
"36","2",17.5,233073.529550795,316632.153281146
"37","2",18,233073.500423674,316632.652432036
"38","2",18.5,233073.471296554,316633.151582926
"39","2",19,233073.442169434,316633.650733816
"40","2",19.5,233073.413042314,316634.149884705
"41","2",20,233073.383915194,316634.649035595
"42","2",20.5,233073.354788074,316635.148186485
"43","2",21,233073.325660953,316635.647337375
"44","2",21.5,233073.296533833,316636.146488265
"45","2",22,233073.267406713,316636.645639155
"46","2",22.5,233073.238279593,316637.144790045
"47","2",23,233073.209152473,316637.643940935
"48","2",23.5,233073.180025353,316638.143091825
"49","2",24,233073.150898233,316638.642242714
"50","2",24.5,233073.121771112,316639.141393604
"51","2",25,233073.092643992,316639.640544494
"52","2",25.5,233073.063516872,316640.139695384
"53","2",26,233073.034389752,316640.638846274
"54","2",26.5,233073.005262632,316641.137997164
"55","2",27,233072.976135512,316641.637148054
"56","2",27.5,233072.947008391,316642.136298944
"57","2",28,233072.917881271,316642.635449833
"58","2",28.5,233072.888754151,316643.134600723
"59","2",29,233072.859627031,316643.633751613
"60","2",29.5,233072.830499911,316644.132902503
"61","2",30,233072.801372791,316644.632053393
"62","2",30.5,233072.772245671,316645.131204283
"63","2",31,233072.74311855,316645.630355173
"64","2",31.5,233072.71399143,316646.129506063
"65","2",32,233072.68486431,316646.628656953
"66","2",32.5,233072.65573719,316647.127807842
"67","2",33,233072.62661007,316647.626958732
"68","2",33.5,233072.59748295,316648.126109622
"69","2",34,233072.568355829,316648.625260512
"70","2",34.5,233072.539228709,316649.124411402
"71","2",35,233072.510101589,316649.623562292
"72","2",35.5,233072.480974469,316650.122713182
"73","2",36,233072.451847349,316650.621864072
"74","2",36.5,233072.422720229,316651.121014962
"75","2",37,233072.393593109,316651.620165851
"76","2",37.5,233072.364465988,316652.119316741
"77","2",38,233072.335338868,316652.618467631
"78","2",38.5,233072.306211748,316653.117618521
"79","2",39,233072.277084628,316653.616769411
"80","2",39.5,233072.247957508,316654.115920301
"81","2",40,233072.218830388,316654.615071191
"82","2",40.4777401172401,233072.191,316655.092
