fid,org_fid,distance,x,y
"1","8",0,233060.433,316714.016
"2","8",0.5,233060.459552837,316713.516705551
"3","8",1,233060.486105674,316713.017411102
"4","8",1.5,233060.512658511,316712.518116653
"5","8",2,233060.539211348,316712.018822204
"6","8",2.5,233060.565764185,316711.519527755
"7","8",3,233060.592317023,316711.020233306
"8","8",3.5,233060.61886986,316710.520938857
"9","8",4,233060.645422697,316710.021644408
"10","8",4.5,233060.671975534,316709.522349959
"11","8",5,233060.698528371,316709.02305551
"12","8",5.5,233060.725081208,316708.523761061
"13","8",6,233060.751634045,316708.024466612
"14","8",6.5,233060.778186882,316707.525172162
"15","8",7,233060.804739719,316707.025877713
"16","8",7.5,233060.831292556,316706.526583264
"17","8",8,233060.857845393,316706.027288815
"18","8",8.5,233060.88439823,316705.527994366
"19","8",9,233060.910951068,316705.028699917
"20","8",9.5,233060.937503905,316704.529405468
"21","8",10,233060.964056742,316704.030111019
"22","8",10.5,233060.990609579,316703.53081657
"23","8",11,233061.017162416,316703.031522121
"24","8",11.5,233061.043715253,316702.532227672
"25","8",12,233061.07026809,316702.032933223
"26","8",12.5,233061.096820927,316701.533638774
"27","8",13,233061.123373764,316701.034344325
"28","8",13.5,233061.149926601,316700.535049876
"29","8",14,233061.176479438,316700.035755427
"30","8",14.5,233061.203032276,316699.536460978
"31","8",15,233061.229585113,316699.037166529
"32","8",15.5,233061.25613795,316698.53787208
"33","8",16,233061.282690787,316698.038577631
"34","8",16.5,233061.309243624,316697.539283182
"35","8",17,233061.335796461,316697.039988733
"36","8",17.5,233061.362349298,316696.540694284
"37","8",18,233061.388902135,316696.041399835
"38","8",18.5,233061.415454972,316695.542105386
"39","8",19,233061.442007809,316695.042810936
"40","8",19.5,233061.468560646,316694.543516487
"41","8",20,233061.495113483,316694.044222038
"42","8",20.5,233061.521666321,316693.544927589
"43","8",21,233061.548219158,316693.04563314
"44","8",21.5,233061.574771995,316692.546338691
"45","8",22,233061.601324832,316692.047044242
"46","8",22.5,233061.627877669,316691.547749793
"47","8",22.7470984743372,233061.641,316691.301
