fid,org_fid,distance,x,y
"1","3",0,233081.876,316665.379
"2","3",0.5,233082.375500707,316665.401339294
"3","3",1,233082.875001413,316665.423678587
"4","3",1.5,233083.37450212,316665.446017881
"5","3",2,233083.874002827,316665.468357174
"6","3",2.5,233084.373503533,316665.490696468
"7","3",3,233084.87300424,316665.513035762
"8","3",3.5,233085.372504947,316665.535375055
"9","3",4,233085.872005653,316665.557714349
"10","3",4.5,233086.37150636,316665.580053642
"11","3",5,233086.871007067,316665.602392936
"12","3",5.5,233087.370507773,316665.62473223
"13","3",6,233087.87000848,316665.647071523
"14","3",6.5,233088.369509187,316665.669410817
"15","3",7,233088.869009893,316665.69175011
"16","3",7.5,233089.3685106,316665.714089404
"17","3",8,233089.868011307,316665.736428698
"18","3",8.5,233090.367512013,316665.758767991
"19","3",9,233090.86701272,316665.781107285
"20","3",9.5,233091.366513427,316665.803446578
"21","3",10,233091.866014133,316665.825785872
"22","3",10.5,233092.36551484,316665.848125166
"23","3",11,233092.865015547,316665.870464459
"24","3",11.5,233093.364516253,316665.892803753
"25","3",12,233093.86401696,316665.915143046
"26","3",12.5,233094.363517667,316665.93748234
"27","3",13,233094.863018373,316665.959821633
"28","3",13.5,233095.36251908,316665.982160927
"29","3",13.5635443745519,233095.426,316665.985
