fid,org_fid,distance,x,y
"1","16",0,233075.442,316601.126
"2","16",0.5,233075.409136203,316601.624918802
"3","16",1,233075.376272407,316602.123837604
"4","16",1.5,233075.34340861,316602.622756406
"5","16",2,233075.310544814,316603.121675208
"6","16",2.5,233075.277681017,316603.620594009
"7","16",3,233075.244817221,316604.119512811
"8","16",3.5,233075.211953424,316604.618431613
"9","16",4,233075.179089627,316605.117350415
"10","16",4.5,233075.146225831,316605.616269217
"11","16",5,233075.113362034,316606.115188019
"12","16",5.5,233075.080498238,316606.614106821
"13","16",6,233075.047634441,316607.113025623
"14","16",6.5,233075.014770645,316607.611944425
"15","16",7,233074.981906848,316608.110863226
"16","16",7.5,233074.949043051,316608.609782028
"17","16",8,233074.916179255,316609.10870083
"18","16",8.5,233074.883315458,316609.607619632
"19","16",9,233074.850451662,316610.106538434
"20","16",9.5,233074.817587865,316610.605457236
"21","16",10,233074.784724069,316611.104376038
"22","16",10.5,233074.751860272,316611.60329484
"23","16",11,233074.718996476,316612.102213641
"24","16",11.5,233074.686132679,316612.601132443
"25","16",12,233074.653268882,316613.100051245
"26","16",12.5,233074.620405086,316613.598970047
"27","16",13,233074.587541289,316614.097888849
"28","16",13.5,233074.554677493,316614.596807651
"29","16",13.5863791350318,233074.549,316614.683
