fid,org_fid,distance,x,y
"1","28",0,233050.585,316663.656
"2","28",0.5,233051.082725396,316663.703638537
"3","28",1,233051.580450792,316663.751277074
"4","28",1.5,233052.078176188,316663.798915611
"5","28",2,233052.575889045,316663.846684169
"6","28",2.5,233053.073545561,316663.895036959
"7","28",3,233053.571167243,316663.943743139
"8","28",3.5,233054.068686949,316663.993483896
"9","28",4,233054.566053242,316664.044734612
"10","28",4.5,233055.063212193,316664.097953412
"11","28",5,233055.560128092,316664.153397694
"12","28",5.5,233056.056719766,316664.211669828
"13","28",6,233056.552921287,316664.27316794
"14","28",6.5,233057.048635878,316664.338473139
"15","28",7,233057.543677965,316664.408692056
"16","28",7.5,233058.037942776,316664.48417039
"17","28",8,233058.531160633,316664.566216651
"18","28",8.5,233059.022818283,316664.657134663
"19","28",9,233059.509824552,316664.770106535
"20","28",9.5,233059.99025888,316664.908375077
"21","28",10,233060.463405283,316665.06982173
"22","28",10.5,233060.928827313,316665.252352468
"23","28",11,233061.386296963,316665.45401754
"24","28",11.5,233061.834932971,316665.674663614
"25","28",12,233062.273071242,316665.915490118
"26","28",12.5,233062.699426417,316666.176581631
"27","28",13,233063.11187216,316666.459056762
"28","28",13.5,233063.505174451,316666.767567449
"29","28",14,233063.875841524,316667.102908413
"30","28",14.5,233064.220518445,316667.464895694
"31","28",15,233064.536303737,316667.85235582
"32","28",15.5,233064.823057079,316668.261803412
"33","28",16,233065.082082233,316668.689350938
"34","28",16.5,233065.315155583,316669.131591188
"35","28",17,233065.524582429,316669.585528502
"36","28",17.5,233065.714832303,316670.047876654
"37","28",18,233065.887814769,316670.516974888
"38","28",18.5,233066.047965699,316670.990606751
"39","28",19,233066.195699355,316671.468267378
"40","28",19.5,233066.334041737,316671.948734942
"41","28",20,233066.462282228,316672.431996289
"42","28",20.5,233066.58124666,316672.917625138
"43","28",21,233066.691824786,316673.405232496
"44","28",21.5,233066.794125046,316673.894646867
"45","28",22,233066.887517096,316674.385840092
"46","28",22.5,233066.973440697,316674.878392182
"47","28",23,233067.052965973,316675.37202189
"48","28",23.5,233067.126912209,316675.866519284
"49","28",24,233067.194387372,316676.361940705
"50","28",24.5,233067.255562905,316676.858178155
"51","28",25,233067.310509807,316677.35514307
"52","28",25.5,233067.35894953,316677.852785712
"53","28",26,233067.400135216,316678.351084779
"54","28",26.5,233067.43758861,316678.849677789
"55","28",27,233067.471430935,316679.348529356
"56","28",27.5,233067.501455978,316679.847625406
"57","28",28,233067.527895334,316680.346924258
"58","28",28.5,233067.551106283,316680.846383404
"59","28",29,233067.57119034,316681.345978336
"60","28",29.5,233067.585634321,316681.845765261
"61","28",30,233067.595661497,316682.345662505
"62","28",30.5,233067.602877179,316682.845608377
"63","28",31,233067.608193154,316683.345578688
"64","28",31.5,233067.612015603,316683.845564077
"65","28",32,233067.61348556,316684.34556146
"66","28",32.5,233067.614703111,316684.845559886
"67","28",33,233067.614362392,316685.34555977
"68","28",33.5,233067.614021674,316685.845559654
"69","28",34,233067.612734073,316686.34555766
"70","28",34.5,233067.611091858,316686.845554963
"71","28",35,233067.609449642,316687.345552267
"72","28",35.5,233067.607674189,316687.845549047
"73","28",36,233067.605396286,316688.345543859
"74","28",36.5,233067.603118383,316688.84553867
"75","28",37,233067.60084048,316689.345533481
"76","28",37.5,233067.598562577,316689.845528292
"77","28",38,233067.596284675,316690.345523103
"78","28",38.5,233067.594006772,316690.845517914
"79","28",38.9404866570922,233067.592,316691.286
