fid,org_fid,distance,x,y
"1","12",0,233060.716,316654.532
"2","12",0.5,233060.745350877,316654.032862217
"3","12",1,233060.774701754,316653.533724435
"4","12",1.5,233060.804052632,316653.034586652
"5","12",2,233060.833403509,316652.53544887
"6","12",2.5,233060.862754386,316652.036311087
"7","12",3,233060.892105263,316651.537173304
"8","12",3.5,233060.92145614,316651.038035522
"9","12",4,233060.950807018,316650.538897739
"10","12",4.5,233060.980157895,316650.039759957
"11","12",5,233061.009508772,316649.540622174
"12","12",5.5,233061.038859649,316649.041484392
"13","12",6,233061.068210526,316648.542346609
"14","12",6.5,233061.097561404,316648.043208826
"15","12",7,233061.126912281,316647.544071044
"16","12",7.5,233061.156263158,316647.044933261
"17","12",8,233061.185614035,316646.545795479
"18","12",8.5,233061.214964912,316646.046657696
"19","12",9,233061.24431579,316645.547519913
"20","12",9.5,233061.273666667,316645.048382131
"21","12",10,233061.303017544,316644.549244348
"22","12",10.5,233061.332368421,316644.050106566
"23","12",11,233061.361719298,316643.550968783
"24","12",11.5,233061.391070176,316643.051831
"25","12",12,233061.420421053,316642.552693218
"26","12",12.5,233061.44977193,316642.053555435
"27","12",13,233061.479122807,316641.554417653
"28","12",13.5,233061.508473684,316641.05527987
"29","12",14,233061.537824562,316640.556142088
"30","12",14.5,233061.567175439,316640.057004305
"31","12",15,233061.596526316,316639.557866522
"32","12",15.5,233061.625877193,316639.05872874
"33","12",16,233061.655228071,316638.559590957
"34","12",16.5,233061.684578948,316638.060453175
"35","12",17,233061.713929825,316637.561315392
"36","12",17.5,233061.743280702,316637.062177609
"37","12",18,233061.772631579,316636.563039827
"38","12",18.5,233061.801982457,316636.063902044
"39","12",19,233061.831333334,316635.564764262
"40","12",19.5,233061.860684211,316635.065626479
"41","12",20,233061.890035088,316634.566488696
"42","12",20.5,233061.919385965,316634.067350914
"43","12",21,233061.948736843,316633.568213131
"44","12",21.5,233061.97808772,316633.069075349
"45","12",22,233062.007438597,316632.569937566
"46","12",22.5,233062.036789474,316632.070799784
"47","12",23,233062.066140351,316631.571662001
"48","12",23.5,233062.095491229,316631.072524218
"49","12",24,233062.124842106,316630.573386436
"50","12",24.5,233062.154192983,316630.074248653
"51","12",25,233062.18354386,316629.575110871
"52","12",25.5,233062.212894737,316629.075973088
"53","12",26,233062.242245615,316628.576835305
"54","12",26.5,233062.271596492,316628.077697523
"55","12",27,233062.300947369,316627.57855974
"56","12",27.5,233062.330298246,316627.079421958
"57","12",28,233062.359649123,316626.580284175
"58","12",28.5,233062.389000001,316626.081146392
"59","12",29,233062.418350878,316625.58200861
"60","12",29.5,233062.447701755,316625.082870827
"61","12",30,233062.477052632,316624.583733045
"62","12",30.5,233062.506403509,316624.084595262
"63","12",31,233062.535754387,316623.58545748
"64","12",31.5,233062.565105264,316623.086319697
"65","12",32,233062.594456141,316622.587181914
"66","12",32.5,233062.623807018,316622.088044132
"67","12",33,233062.653157895,316621.588906349
"68","12",33.5,233062.682508773,316621.089768567
"69","12",34,233062.71185965,316620.590630784
"70","12",34.5,233062.741210527,316620.091493001
"71","12",35,233062.770561404,316619.592355219
"72","12",35.5,233062.799912281,316619.093217436
"73","12",36,233062.829263159,316618.594079654
"74","12",36.5,233062.858614036,316618.094941871
"75","12",37,233062.887964913,316617.595804088
"76","12",37.5,233062.91731579,316617.096666306
"77","12",38,233062.946666667,316616.597528523
"78","12",38.5,233062.976017545,316616.098390741
"79","12",39,233063.005368422,316615.599252958
"80","12",39.5,233063.034719299,316615.100115176
"81","12",40,233063.064070176,316614.600977393
"82","12",40.4928272413872,233063.093,316614.109
