fid,org_fid,distance,x,y
"1","30",0,233050.585,316663.656
"2","30",0.5,233051.084838388,316663.643368264
"3","30",1,233051.584152456,316663.618326917
"4","30",1.5,233052.081113117,316663.563978849
"5","30",2,233052.572279649,316663.471720001
"6","30",2.5,233053.049071838,316663.322464658
"7","30",3,233053.508560847,316663.12555199
"8","30",3.5,233053.956589086,316662.903679785
"9","30",4,233054.399216698,316662.671130312
"10","30",4.5,233054.83997346,316662.43505346
"11","30",5,233055.277469301,316662.193032029
"12","30",5.5,233055.706730092,316661.936691703
"13","30",6,233056.128794492,316661.668646576
"14","30",6.5,233056.541569643,316661.386591145
"15","30",7,233056.93926102,316661.083655545
"16","30",7.5,233057.319802425,316660.759431203
"17","30",8,233057.682573541,316660.415446714
"18","30",8.5,233058.02735844,316660.053418715
"19","30",9,233058.353556295,316659.674559341
"20","30",9.5,233058.662712755,316659.281634139
"21","30",10,233058.959898541,316658.879564795
"22","30",10.5,233059.245011294,316658.468850489
"23","30",11,233059.514203923,316658.047576093
"24","30",11.5,233059.754929794,316657.609467146
"25","30",12,233059.967722854,316657.157109667
"26","30",12.5,233060.153517349,316656.692987407
"27","30",13,233060.31459417,316656.219717473
"28","30",13.5,233060.448511834,316655.738070495
"29","30",14,233060.562033924,316655.251153594
"30","30",14.5,233060.666826205,316654.762260411
"31","30",14.7354525830462,233060.716,316654.532
