fid,org_fid,distance,x,y
"1","1",0,233071.836,316614.556
"2","1",0.5,233071.807032921,316615.055160203
"3","1",1,233071.778065843,316615.554320406
"4","1",1.5,233071.749098764,316616.053480609
"5","1",2,233071.720131686,316616.552640812
"6","1",2.5,233071.691164607,316617.051801015
"7","1",3,233071.662197529,316617.550961219
"8","1",3.5,233071.63323045,316618.050121422
"9","1",4,233071.604263372,316618.549281625
"10","1",4.5,233071.575296293,316619.048441828
"11","1",5,233071.546329215,316619.547602031
"12","1",5.5,233071.517362136,316620.046762234
"13","1",6,233071.488395058,316620.545922437
"14","1",6.5,233071.459427979,316621.04508264
"15","1",7,233071.430460901,316621.544242843
"16","1",7.5,233071.401493822,316622.043403046
"17","1",8,233071.372526744,316622.54256325
"18","1",8.5,233071.343559665,316623.041723453
"19","1",9,233071.314592586,316623.540883656
"20","1",9.5,233071.285625508,316624.040043859
"21","1",10,233071.256658429,316624.539204062
"22","1",10.5,233071.227691351,316625.038364265
"23","1",11,233071.198724272,316625.537524468
"24","1",11.5,233071.169757194,316626.036684671
"25","1",12,233071.140790115,316626.535844874
"26","1",12.5,233071.111823037,316627.035005078
"27","1",13,233071.082855958,316627.534165281
"28","1",13.5,233071.05388888,316628.033325484
"29","1",14,233071.024921801,316628.532485687
"30","1",14.5,233070.995954723,316629.03164589
"31","1",15,233070.966987644,316629.530806093
"32","1",15.5,233070.938020566,316630.029966296
"33","1",16,233070.909053487,316630.529126499
"34","1",16.5,233070.880086409,316631.028286702
"35","1",17,233070.85111933,316631.527446906
"36","1",17.5,233070.822152251,316632.026607109
"37","1",18,233070.793185173,316632.525767312
"38","1",18.5,233070.764218094,316633.024927515
"39","1",19,233070.735251016,316633.524087718
"40","1",19.5,233070.706283937,316634.023247921
"41","1",20,233070.677316859,316634.522408124
"42","1",20.5,233070.64834978,316635.021568327
"43","1",21,233070.619382702,316635.52072853
"44","1",21.5,233070.590415623,316636.019888733
"45","1",22,233070.561448545,316636.519048936
"46","1",22.5,233070.532481466,316637.01820914
"47","1",23,233070.503514388,316637.517369343
"48","1",23.5,233070.474547309,316638.016529546
"49","1",24,233070.445580231,316638.515689749
"50","1",24.5,233070.416613152,316639.014849952
"51","1",25,233070.387646074,316639.514010155
"52","1",25.5,233070.358678995,316640.013170358
"53","1",26,233070.329711917,316640.512330561
"54","1",26.5,233070.300744838,316641.011490764
"55","1",27,233070.271777759,316641.510650968
"56","1",27.5,233070.242810681,316642.009811171
"57","1",28,233070.213843602,316642.508971374
"58","1",28.5,233070.184876524,316643.008131577
"59","1",29,233070.155909445,316643.50729178
"60","1",29.5,233070.126942367,316644.006451983
"61","1",30,233070.097975288,316644.505612186
"62","1",30.5,233070.06900821,316645.004772389
"63","1",31,233070.040041131,316645.503932592
"64","1",31.5,233070.011074053,316646.003092795
"65","1",32,233069.982106974,316646.502252999
"66","1",32.5,233069.953139896,316647.001413202
"67","1",33,233069.924172817,316647.500573405
"68","1",33.5,233069.895205739,316647.999733608
"69","1",34,233069.86623866,316648.498893811
"70","1",34.5,233069.837271582,316648.998054014
"71","1",35,233069.808304503,316649.497214217
"72","1",35.5,233069.779337424,316649.99637442
"73","1",36,233069.750370346,316650.495534623
"74","1",36.5,233069.721403267,316650.994694826
"75","1",37,233069.692436189,316651.49385503
"76","1",37.5,233069.66346911,316651.993015233
"77","1",38,233069.634502032,316652.492175436
"78","1",38.5,233069.605534953,316652.991335639
"79","1",39,233069.576567875,316653.490495842
"80","1",39.5,233069.547600796,316653.989656045
"81","1",40,233069.518633718,316654.488816248
"82","1",40.4769848926956,233069.491,316654.965
