fid,org_fid,distance,x,y
"1","5",0,233070.289,316691.206
"2","5",0.5,233070.265919431,316691.705467003
"3","5",1,233070.242838863,316692.204934007
"4","5",1.5,233070.219758294,316692.70440101
"5","5",2,233070.196677725,316693.203868013
"6","5",2.5,233070.173597157,316693.703335016
"7","5",3,233070.150516588,316694.20280202
"8","5",3.5,233070.127436019,316694.702269023
"9","5",4,233070.104355451,316695.201736026
"10","5",4.5,233070.081274882,316695.701203029
"11","5",5,233070.058194313,316696.200670033
"12","5",5.5,233070.035113745,316696.700137036
"13","5",6,233070.012033176,316697.199604039
"14","5",6.5,233069.988952607,316697.699071042
"15","5",7,233069.965872039,316698.198538046
"16","5",7.5,233069.94279147,316698.698005049
"17","5",8,233069.919710901,316699.197472052
"18","5",8.5,233069.896630332,316699.696939055
"19","5",9,233069.873549764,316700.196406059
"20","5",9.5,233069.850469195,316700.695873062
"21","5",10,233069.827388626,316701.195340065
"22","5",10.5,233069.804308058,316701.694807069
"23","5",11,233069.781227489,316702.194274072
"24","5",11.5,233069.75814692,316702.693741075
"25","5",12,233069.735066352,316703.193208078
"26","5",12.5,233069.711985783,316703.692675082
"27","5",13,233069.688905214,316704.192142085
"28","5",13.5,233069.665824646,316704.691609088
"29","5",14,233069.642744077,316705.191076091
"30","5",14.5,233069.619663508,316705.690543095
"31","5",15,233069.59658294,316706.190010098
"32","5",15.5,233069.573502371,316706.689477101
"33","5",16,233069.550421802,316707.188944104
"34","5",16.5,233069.527341234,316707.688411108
"35","5",17,233069.504260665,316708.187878111
"36","5",17.5,233069.481180096,316708.687345114
"37","5",18,233069.458099528,316709.186812118
"38","5",18.5,233069.435018959,316709.686279121
"39","5",19,233069.41193839,316710.185746124
"40","5",19.5,233069.388857822,316710.685213127
"41","5",20,233069.365777253,316711.184680131
"42","5",20.5,233069.342696684,316711.684147134
"43","5",21,233069.319616116,316712.183614137
"44","5",21.5,233069.296535547,316712.68308114
"45","5",22,233069.273454978,316713.182548144
"46","5",22.5,233069.250374409,316713.682015147
"47","5",22.8763860782375,233069.233,316714.058
