fid,org_fid,distance,x,y
"1","7",0,233063.148,316714.016
"2","7",0.5,233063.177043947,316713.516844264
"3","7",1,233063.206087894,316713.017688527
"4","7",1.5,233063.235131841,316712.518532791
"5","7",2,233063.264175788,316712.019377055
"6","7",2.5,233063.293219735,316711.520221318
"7","7",3,233063.322263682,316711.021065582
"8","7",3.5,233063.351307629,316710.521909845
"9","7",4,233063.380351576,316710.022754109
"10","7",4.5,233063.409395523,316709.523598373
"11","7",5,233063.43843947,316709.024442636
"12","7",5.5,233063.467483416,316708.5252869
"13","7",6,233063.496527363,316708.026131164
"14","7",6.5,233063.52557131,316707.526975427
"15","7",7,233063.554615257,316707.027819691
"16","7",7.5,233063.583659204,316706.528663955
"17","7",8,233063.612703151,316706.029508218
"18","7",8.5,233063.641747098,316705.530352482
"19","7",9,233063.670791045,316705.031196745
"20","7",9.5,233063.699834992,316704.532041009
"21","7",10,233063.728878939,316704.032885273
"22","7",10.5,233063.757922886,316703.533729536
"23","7",11,233063.786966833,316703.0345738
"24","7",11.5,233063.81601078,316702.535418064
"25","7",12,233063.845054727,316702.036262327
"26","7",12.5,233063.874098674,316701.537106591
"27","7",13,233063.903142621,316701.037950855
"28","7",13.5,233063.932186568,316700.538795118
"29","7",14,233063.961230515,316700.039639382
"30","7",14.5,233063.990274462,316699.540483645
"31","7",15,233064.019318409,316699.041327909
"32","7",15.5,233064.048362356,316698.542172173
"33","7",16,233064.077406303,316698.043016436
"34","7",16.5,233064.10645025,316697.5438607
"35","7",17,233064.135494196,316697.044704964
"36","7",17.5,233064.164538143,316696.545549227
"37","7",18,233064.19358209,316696.046393491
"38","7",18.5,233064.222626037,316695.547237755
"39","7",19,233064.251669984,316695.048082018
"40","7",19.5,233064.280713931,316694.548926282
"41","7",20,233064.309757878,316694.049770545
"42","7",20.5,233064.338801825,316693.550614809
"43","7",21,233064.367845772,316693.051459073
"44","7",21.5,233064.396889719,316692.552303336
"45","7",22,233064.425933666,316692.0531476
"46","7",22.5,233064.454977613,316691.553991864
"47","7",22.7413994731885,233064.469,316691.313
